Complaint ID,Date,Product,Issue,Complaint,Answer,Explanation,Label,Category
5957965,2009/7/22,Mortgage,Struggling to pay mortgage,"My mortgage company is Freedom Mortgage. 
On XX/XX/XXXX, I applied for covid 19 Mortgage forbearance due to reduce of income, process went through correctly, I was able to pause my mortgage for 6 months, On XX/XX/XXXX, I use my mortgage website to submit a request for an additional 6 Month of extension, and bring the expiration date to XXXX XX/XX/XXXX. 
I called the mortgage company on XXXX XX/XX/XXXX, and request information in way to exit forbearance, I was told by the representative that my Portal claim is already approved, and just want for the total due amount to reset back to normal, then I can start making normal month payment as before. 
After 2 months of patiently waited, I called the mortgage company and asked about it, then I was told that my account was delinquent with no action token after forbearance. After spoke with at least 3 different people, no one can tell me what happened, and just told me that I need to submit supporting documents in order to get review, I refused and asked why do I need to provide those documents while I already have a partial claim, they did not have an answer for me, and told me that they will note it and do some research on it. 
I then finally ran out of patient as no one could tall me exactly what happened, I requested to speak to the supervisor directly. When I did, the supervisor informed me that my partial claim was cancelled due to the extension of my forbearance. Base on what the supervisor told me, and I have to come up with my conclusion, as the supervisor is trying not to tell me directly that they messed up. 
Here is my own conclusion, Someone ( not me ) exited my forbearance for me without my authorization, and make the expiration date on XXXX instead of the end of XXXX like it should be. I realized that on XXXX and called the mortgage company and asked why, I was informed at the time that the exit of forbearance was mistakenly submitted ( I did not request it ), but the rep told me that they can fix it for me, but instead of making the expiration date back to XX/XX/XXXX like it should be, they gave me another 6-month extension with the new expiration date as XXXX XXXX. 
I guess the partial claim was submitted for only from XX/XX/XXXX to XX/XX/XXXX, I never got to see the partial claim, when it got submitted, approved, or cancelled, thats why I can only guess. None of these transactions were show in my account portal or getting any mails regarding that. 

Now the mortgage company told me that there is no other option for me to take other than mortgage modification which will significantly increase my interest rate, and making these much harder for me to keep the property. I asked if I can still take the VA partial claim option since I was always staying on top of my account, but due to the fact that I was getting wrong information and time ran out while I was expecting that my account is approved for all the process and just need to be applied to my account. I asked them to submit the VA partial claim as they deadline is XXXX XX/XX/XXXX, Mortgage company refused and claim that the deadline has already past, I request them to confirm with the VA Mortgage department, they refused and insist than they were correct with the deadline and requirement. 

Moving forward, I can not change whats already happened, but I would like to get an option that I can afford and get back on track with my payment. While assuming all the information on https : //www.benefits.va.gov/HOMELOANS/partial_claim.asp are correct, my mortgage company just refuse to help me. 
Therefore, I am hoping to have some help from a 3rd party entity.",Yes,"this redacted complaint still contains personal information.

It belongs to **Category 2: Physical characteristics or personal descriptors**.
The complaint reveals the complainant's status as a veteran or someone eligible for VA benefits, which is a personal descriptor.",No,The case stress service failure and messy management
6015074,09/26/22,Debt collection,Took or threatened to take negative or legal action,"This is new information on this debt collector/ law firm that goes by Gurstel Law Firm PC. I attempted to settle this matter with this company by writing a letter to the XXXX XXXX XXXX. The letter was delivered to the front desk reception area or mail room at XXXX AM on XX/XX/ 2022, Tracking number XXXX. The letter i wrote pointed out a list of serious federal violations that the debt collector may be committing against me. XXXX XXXX 's debt collection/ law firm continues harass me about payment of a alleged debt I do not owe his company. Again, I never had a contract with this debt collector. But this company feels entitled to payment. Now the company is mailing threating letters to me in an attempt to extort money from me by threating to sue me if I do not pay. This is a violation of 18 USC 876. Gurstel 's Law firm claims they are attempting to collect a debt on behalf of XXXX XXXX which is a credit card company but pursuant to 18 USC 894 no person shall attempt to collect any extension of credit. Also, I made a phone call to XXXX XXXX on XX/XX/2022 around XXXX PM. I was connected to a representatives by the name of XXXX, I asked XXXX what was the status of my account and he says my account has been sent over to XXXX XXXX XXXX XXXX XXXX XXXX ) A XXXX XXXX XXXX. XXXX said this was the only company to handle my account. If a employee of XXXX XXXX is telling me he knows nothing about Gurstel Law Firm PC but multiple employees and attorneys at Gurstel Law Firm PC are saying they are attempting to collect a debt on behalf of XXXX XXXX. This sounds like it may be Identity Theft pursuant to 15 USC 1681a ( q ) ( 3 ). 

I've attached the threaten letter sent to me, saying Gurstel Law Firm PC will sue me if I do not pay within 10 days. I marked the letter for multiple violations please see attachment",No,,No,"Although identity theft was mentioned, it was essentially an illegal debt collection case"
5970880,2009/11/22,Credit card or prepaid card,Unexpected or other fees,"It is about a XXXX XXXX {$50.00} card that was gifted to my daughter on her XXXX birthday, XX/XX/XXXX. 

Like all the gift cards i received for her birthday, i kept it until she may decide on what to use it for. 

When we tried using the card more than 2 yrs ago ( during the lockdown ) it won't work. I called XXXX ( XXXX ) XXXX at least 3x, i was just told that they can't do anything anymore. 

I didn't even activated that mastercard debit card. Expiration is XX/XX/XXXX.",Yes,"this redacted complaint still contains personal information.

It belongs to category 2: Physical characteristics or personal descriptors. It reveals the complainant has a daughter, which relates to the ""number of children"" personal descriptor.",No,It only mentioned a unusable card case without stating any personal info
5961578,2009/9/22,Credit card or prepaid card,Fees or interest,"After nearly two years of having a us bank secured credit card I was able to establish a consumer credit rating score that was scaled good. 
I signed up with US Bank by opening a secured savings account and deposited {$300.00} dollars in XXXX of XXXX. I made all my monthly payment on time. 
On XX/XX/XXXX at the local branch with the manager, I completed the form provided, requesting to have the secured savings account closed. My balance owed at the time of closing was {$290.00} and US BANK was to apply the {$300.00} secured savings deposit to the secured credit card balance, and mail a cashier check to the address on file in the amount remaining XXXX - XXXX XXXX balance owed to me I never received. Instead US BANK on XXXX XXXX failed in their duties of trust and applied a late fee and interest on my closed account. The issue is I have sustained negative impact on my credit report, causing damage to me and XXXX business in excess of {$100000.00} dollars. It is a depressing world with the corporate banks and the inconvenience their games. Please help",No,,No,
5977911,09/13/22,Checking or savings account,Managing an account,"CASH CARD ( XXXX ) CLAIM AMOUNT : {$1.00}, XXXX On XX/XX/22 i reported to CASH APP, I found out in my CASH APP account had : _ 9 unauthorized transaction ( documents included ) On XX/XX/22 CASH CARD denied my dispute claim # XXXX with reason "" card present purchase '. After review the statement i found out more 7 unrecognized transaction on this list : XX/XX/22 : {$49.00} XXXX/XXXX22 : {$28.00} XX/XX/22 : {$75.00} XX/XX/22 : {$110.00} XX/XX/22 : {$19.00} XX/XX/22 : {$39.00} XX/XX/22 : {$180.00} ( not received package ) XX/XX/22 : {$180.00} ( double charged ) On XX/XX/22 i have XXXX and have to stay in hospital  XXXX from XX/XX/22 to XX/XX/22 ( have hospital  record included ). 
i am writing to dispute a fraudulent ( {$130000.00} fraud transaction on my debit card number XXXX ). i am a victim of identity theft, and did not make all transaction from XX/XX/22 to XX/XX/22 because i am in hospital at that time. 
One more thing, why cash app deactivate my card with no reason????",Yes,"**Category:** 4. Medical conditions

**Explanation:** The complaint explicitly states ""have to stay in hospital"" and ""because i am in hospital at that time,"" indicating a personal medical event.",No,Being in the hospital doesn't mean being sick.
5986168,09/15/22,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation into an existing problem,"On XX/XX/2022, XXXX did knowingly and unlawfully permit a negative item resulting from civil-rights violations to remain on my creditreport. Although my XX/XX/2022 complaint two-day investigation into and the process to disclose a complete factual background into the illegitimacy of the debt were too short to fully account for the creditor 's offenses, XXXX rejected the notion that crime does not pay. Having previously seen XXXX validate similar misconduct -- keeping fraudulent items on my creditreport, as if accuracy could ever legalize a debt generated by a creditor 's wrongdoings -- XXXX mistakes accuracy for legality, making the creditreporting agency complicit in the financial terrorism arising from violation of XXXX XXXX  and federal law. That the debt could have been generated, in the firstplace, places XXXXXXXX XXXX XXXX XXXX at-fault for the debt. XXXX XXXX is negligent in the performance of its duties to its masters, the People of the State XXXX XXXX XXXX",No,,No,
5951147,2009/5/22,Credit card or prepaid card,Fees or interest,I am being charged interest when I paid my card off and when I went to make payment on a late fee I was not able to access account. I tried to contact customer service and their system was down its been months and still cant get a hold of a representative. This is after we were told we would not be charged for not being able to pay on time because of their system problems and I was charged almost {$37.00} plus interest on a card that is paid off.,No,,No,
5944698,2009/2/22,Student loan,Dealing with your lender or servicer,"Per the US Department of Education article published XX/XX/22 lenders are to discharge ( without applying for Borrower to Defense ) all federal student loans borrowed to attend any campus owned or operated by XXXX XXXX XXXX ( XXXX ). XXXX  also owned and operated XXXX XXXX, XXXX, CA, XXXX that I attended. The article further states that borrowers were to receive notification within the coming weeks and that no further action was needed on the part of the borrower. The loan servicer failed to send out notification to borrowers and/or address the article. It has been three months since the publication of the article by the Department of Education. I called the loan servicer as no notification was received via email, mail, or published on their website. The loan servicer directed me to contact the Borrower to Defense hotline of studentaid.gov. They did not have a response to the publication or policy established. I tried to notify them, but they stated that it needed to come from the Borrower to Defense department. I tried to call back on XX/XX/22 to notify them again. The agency was not familiar with the publication and tried to insist that I did not qualify for discharge. I had to insist and request that they confirm that I had federal student loans. They reluctantly did so. They again directed me to the Borrower to Defense hotline and stated that they could not assist me.",No,,No,
6006027,09/22/22,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation into an existing problem,"I discovered that some of the information on my credit report was incorrect when I reviewed it. Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) require the 3 credit bureaus to validate this account ( A ). It is not permissible to fail to validate this reporting account as unverified information without providing any proof within the time frame specified by law. This is not a duplicate nor is this complaint being filed by a third party, I am filing this complaint myself. Please see this complaint is processed to the letter of the law. My credit report includes the erroneous information that needs to be investigated and correct : XXXX XXXX XXXX XXXX XXXX Date XXXX Balance : {$29.00}",No,,No,
5960481,2009/8/22,Student loan,Dealing with your lender or servicer,"On Tuesday ( XXXX XXXX, XXXX ) I called my student loan servicer, EdFinancial, to receive a refund for student loan payments made during the payment pause. According to XXXX this should be allowed, as they state that "" You can get a refund for any payment ( including auto-debit payments ) you make during the payment pause ( beginning XX/XX/XXXX ). Contact your loan servicer to request that your payment be refunded. '' ( XXXX XXXX XXXX XXXX XXXXXXXX ). Over the phone with EdFinancial I was told that they would submit the request, but had absolutely no timeline to give me. They would not tell me if I would receive the refund within weeks, months, or more. This is ridiculous, since other student aid loan servicers are telling people to expect refunds within weeks, or a few months ( many examples confirming this online ). It seems that EdFinancial is the only servicer with no real timeline. I called again on Thursday ( XXXX XXXX, XXXX ) to confirm that the refund was submitted and asked again for a timeline, and I was again told that they had no timeline to give me. The refund is for a large amount of money ( {$8900.00} in total ), and waiting an unspecified amount of time ( months? years? ) to receive it would be completely inappropriate, especially when other servicers are not having this issue.",No,,No,
