Complaint ID,Date,Product,Issue,Complaint,Answer,Explanation,Label,Category
15806205,09/08/25,Credit reporting or other personal consumer reports,Improper use of your report,"Upon reviewing my credit report, I discovered several accounts that I do not recognize and believe to be fraudulent. These accounts appear to be opened without my authorization, and I am deeply concerned about the potential impact on my credit standing and financial well-being. I suspect that I am a victim of identity theft, as I have not initiated or authorized the opening of these accounts. The presence of these unauthorized accounts on my credit report has caused me significant distress and uncertainty about the security of my personal information. I have attached a copy of my credit report highlighting the unrecognized accounts for your reference.",No,,No,
15677907,09/02/25,Credit reporting or other personal consumer reports,Incorrect information on your report,"Date of discharge : XX/XX/year> My federal student loans were canceled under the XXXX loan forgiveness program due to my schools misconduct. The U.S. Department of Education discharged my loans in full. Despite this, [ XXXX XXXX continues to report negative payment history tied to those loans. This information is inaccurate and misleading since the debt was voided. I am requesting removal of all derogatory history and correction of my file to show a {$0.00} discharged account.",No,,No,
15866784,09/11/25,Credit reporting or other personal consumer reports,Incorrect information on your report,"My name is XXXX XXXX, and I am disputing the accuracy of multiple late payments being reported by XXXX XXXX  on my account ending in XXXX. My credit reports with Experian, Equifax, and TransUnion show late payments for XX/XX/2024 through XX/XX/2024. 

These late payments are not accurate, not verified, and therefore not compliant with the Fair Credit Reporting Act ( FCRA ).

Under FCRA 623 ( a ) ( 1 ) ( A ), furnishers of information must provide accurate and complete reporting.

Under FCRA 611 ( a ) ( 1 ) ( A ), I have the right to a reasonable reinvestigation. I demand documented proof from the furnisher.

To date, no original source documentation has been provided to verify these alleged late payments. 

If XXXX XXXX can not produce proper verification, these late payments must be deleted from all credit reports as unverified. 



Sincerely, XXXX XXXX",No,,No,
15704790,09/03/25,Credit reporting or other personal consumer reports,Incorrect information on your report,"These wrongly attributed accounts must be removed within 15 days, as outlined in USC 1681g.",No,,No,
16026963,09/18/25,Credit reporting or other personal consumer reports,Incorrect information on your report,"This CFPB complaint has been filed to request pursuant to FCRA 605B ( 15. U. S. C.

1681c2 ) that you, the Equifax credit reporting agencys block the information appearing on my consumer credit report that is the result of identity theft, and fraud within four business days of you receiving this complaint. This fraudulent, inaccurateand false information consist of personal credit card accounts, auto loans, personal loansand open end unsecured consumer accounts as follows : ACCOUNTS : XXXX XXXX XXXX- Account Number : XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX, Date Opened : XX/XX/year>, Balance : {$670.00} These accounts have resulted in several fraudulent hard inquiries and fraudulent collections appearing on my consumer FICO credit report. Ive attached a list of the hard inquiries in question as well as a copy of the consumer FICO credit report maintained by you which shows the said fraudulent items. I do not recognize these accounts, collections and hard inquiries as reported. The aforementioned accounts, collections and hard inquiries appearing on my consumer credit report maintained by you were not opened, made or initiated by me.

All of the said accounts, collections and hard inquiries are a result of identity theft, and fraud. I have attached a copy of the FTC identity
theft criminal complaint case number XXXX, as proof from the US federal trade commission that all of the aforementioned, consumer credit accounts, collections and hard inquiries are in fact a result of identity, theft, and fraud.",No,,No,
15679237,09/02/25,Credit reporting or other personal consumer reports,Incorrect information on your report,"Complaint Title : Furnishing Unverified Charged-Off Account Failure to Validate Under FCRA This is my third attempt to resolve a serious credit reporting violation involving Goldman Sachs Bank USA . Prior complaints were improperly closed as duplicates, despite addressing legally distinct issues. 

Goldman Sachs continues to furnish a charged-off account to the credit bureaus without providing legally required documentation to verify the accuracy, ownership, or validity of the alleged debt. 

Their only response has been to mail a packet containing generic transaction history which does not constitute legal validation under the FCRA or XXXX XXXX reporting guidelines.

To date, Goldman Sachs has failed to provide : A signed credit agreement or original application A complete charge-off ledger A XXXX or tax-related discharge documentation Proof of assignment, legal ownership, or chain of title No legally sufficient evidence has been produced to justify the continued furnishing of this tradeline. Transaction history is not proof of a valid, collectible, or legally reportable debt. 

This complaint is not about the validity of individual charges it is about the unlawful furnishing of incomplete and unverified data by Goldman Sachs in violation of FCRA 623. 

I am formally objecting to the continued reporting of this item and requesting a full reinvestigation. If no proper verification is provided, I will escalate this matter to the OCC, state regulators, and legal counsel for further action.",No,,No,
15806922,09/08/25,Credit card,Incorrect information on your report,"On XX/XX/year>, I sent Absolute Resolutions Investments , LLC a certified demand letter invoking my legal rights as a debtor under UCC 9-210, requesting a certified accounting of an alleged debt of {$10000.00}. This included a formal request for certified ledger transactions, general ledger entries, loss deficit reports, red and black entries, and certified financial statements that could demonstrate that a legitimate financial loss or damage had been sustained by the alleged creditor.

Under UCC 9-210, as the secured party, Absolute Resolutions has a fiduciary obligation to respond to my formal request. As the debtor, I exercised my legal right to request an accounting of the obligation they claim exists. To date, they have failed to comply within the required 14-day statutory period, and no such certified audit or financial proof has been provided. 

This failure to respond constitutes a failure to meet the legal burden of proof for enforcing any claim of debt. Without certified accounting, the only legally recognizable balance is a credit balance in the amount of {$10000.00}, which under 15 U.S. Code 1666d must be returned as a refund. Any further collection activity on an unverified or fictitious debt becomes legally questionable.

Moreover, if no financial loss has occurredand if no verified chain of title, general ledger, or certified audit from a licensed accountant can be providedthe continued attempt to collect this alleged debt may constitute : Mail Fraud ( 18 U.S.C. 1341 ) : Using the U.S. Postal Service to pursue a fictitious debt.

Wire Fraud ( 18 U.S.C. 1343 ) : Communicating by electronic means ( calls, emails, etc. ) to enforce a non-existent obligation.

False Credit Reporting ( 15 U.S.C. 1681 ) : Reporting a credit balance as a delinquent debt on consumer credit reports.

Violation of Disclosure Obligations ( 15 U.S.C. 1601 et seq. ) : Misrepresenting the nature of the account balance and failing to disclose material facts.

Unfair and Deceptive Practices ( 15 U.S.C. 45 ) under the Federal Trade Commission Act : Misrepresenting a credit balance as a delinquent debt and refusing refund obligations. 

Violation of XXXX ( XXXX XXXX XXXX XXXX ) : Refusal or inability to produce auditable financial statements violates basic financial reporting standards. 

I believe this behavior demonstrates a systemic pattern of unfair, deceptive, and potentially fraudulent business conduct, and I am requesting a full investigation.

Summary of Included Legal Grounds : UCC 9-210 : Secured party must comply with certified accounting requests from a debtor.

15 USC 1666d : Credit balances must be refunded.

15 USC 1681 : Fair Credit Reporting Act violations for false reporting.

15 USC 1601 : Truth in Lending Act disclosure violations.

15 USC 45 : FTC Act prohibiting unfair/deceptive practices.

18 USC 1341 & 1343 : Mail and wire fraud for using deceptive means to collect. 

XXXX : Lack of proper accounting violates accepted standards.",No,,No,
15946063,09/15/25,Credit reporting or other personal consumer reports,Problem with a company's investigation into an existing problem,"These entries are incorrect and do not accurately reflect my actual payment history. I have made multiple attempts to get these discrepancies investigated and corrected, yet no meaningful action has been taken. Despite providing all necessary documentation and following up several times, these errors remain unresolved. This ongoing issue has caused financial stress and has taken a serious toll on my well-being. Dealing with these inaccurate entries has been frustrating and exhausting. Under the Fair Credit Reporting Act ( FCRA ), I have the right to a credit report that accurately represents my financial history. This includes the prompt correction of outdated or incorrect information. I urge you to take immediate action to update or remove these late payment entries, as failing to do so is a direct violation of my rights under federal law. I appreciate your prompt attention to this matter and expect a resolution as soon as possible.",No,,No,
15805940,09/08/25,Debt collection,Written notification about debt,This company put a order to take 20 % the my work I have a garnishment star XX/XX/year> but I never reciv a letter for court this why I need help plz,No,,No,
15734013,09/05/25,Credit card,Problem with a purchase shown on your statement,"I have several XXXX unauthorized purchases on my Chase credit card from XXXX accounts that are not mine. I have hundreds of XXXX order numbers billed to my card that do not belong to my XXXX account. When I ask XXXX about them they refuse to discuss them because they will not talk to a third party and since the orders originate from an account that is not mine ( ...... ) I'm considered a third party even though it is billed to my card. 

I have contacted the Chase fraud department and send them over 250 transactions that are fraud. There are still many more but I'm gathering them. They temporarily credited the money back but have just undone that without giving me any reason why. I have showed them from their own ( Chase ) website that my credit card is connected to over 200 different XXXX accounts which is clearly suspicious. This is now over {$50000.00} of fraud over many years!! I've spent hours on the phone explaining this to both XXXX and Chase over a period of months. The most Chase does is send me a new credit card but this is useless because is just updates the card automatically with all the XXXX accounts that have it on file.",No,,No,
15860877,09/11/25,Credit reporting or other personal consumer reports,Incorrect information on your report,"For the past 45 years, I have been disputing multiple inaccurate accounts and unauthorized inquiries with XXXX XXXX and XXXX due to identity theft and reporting errors. Despite numerous disputes, these accounts remain, reappear, or are only partially corrected, which is a direct violation of the Fair Credit Reporting Act ( 15 U.S.C. 1681 et seq. ). 

Accounts in Dispute : XXXX XXXX XXXX XXXX XXXX ( Account # XXXX ) : Inaccurate charge-off, sold/assigned to collections, derogatory history remains despite prior disputes. 

XXXX XXXX XXXX XXXX XXXX ( Account # XXXX ) : Furnisher admitted late payment errors but only removed one late mark. The account remains inaccurate. 

Dept of Education : Re-updated with derogatory information despite deferment. Should be deleted if unverifiable. 

XXXX XXXX XXXXXXXX XXXX XXXX XXXX Charged-off account with last activity in XXXX. Continued reporting is obsolete and misleading. 

XXXX  Only Unauthorized Inquiries : XXXX XXXX XXXX XXXX ( XX/XX/XXXX and XX/XX/XXXX ) and XXXX XXXX ( XX/XX/XXXX ). These inquiries were never authorized and violate FCRA 1681b ( c ) ( 1 ).

Violations : FCRA 1681e ( b ) : Failure to assure maximum possible accuracy.

FCRA 1681i ( a ) ( 5 ) ( A ) : Failure to delete unverifiable or inaccurate information within 30 days.

FCRA 1681s-2 ( a ) ( 1 ) ( A ) : Furnishers knowingly reporting inaccurate information.

FCRA 1681s-2 ( b ) ( 1 ) ( D ) : Furnishers failing to fully correct after reinvestigation.

FCRA 1681c ( a ) ( 4 ) : Reporting obsolete negative information ( XXXX XXXX ). 

These repeated violations have harmed my creditworthiness and quality of life for several years. My mortgage, auto loan, and credit access opportunities have been negatively impacted. This constitutes willful noncompliance under FCRA 1681n and 1681o, entitling me to damages.",No,,No,
16000018,09/17/25,Credit reporting or other personal consumer reports,Incorrect information on your report,My credit reports are inaccurate. These inaccuracies are causing creditors to deny me credit. You have the duty to report accurate information about consumers. Please investigate these accounts and inquires and update these accounts accordingly to avoid future litigation.,No,,No,
15781392,09/07/25,Credit reporting or other personal consumer reports,Incorrect information on your report,"To whom it may concern, I am writing to formally dispute the accounts reported on my consumer credit report, which are attributed to potential fraud or potential unauthorized activity, as indicated in the reference below : FCRA Section 604. I kindly request verifiable evidence bearing my signature/electronic signature. Please review this letter meticulously as it is submitted on my behalf. I have not authorized such actions, potentially constituting a violation of my consumer rights under the Fair Credit Reporting Act Section 604. I have previously contacted the relevant companies and have determined that these actions may have been undertaken without appropriate validation or original documentation from any of the reporting entities. Your prompt attention to this matter is greatly appreciated.",No,,No,
16204232,09/26/25,Checking or savings account,Managing an account,"Dear CFPB, I am writing to formally request your assistance in reopening and reviewing my dispute with Bank of America regarding fraudulent transactions that occurred on my Bank of America checking account ending in XXXX. 

The main claim number at issue is XXXX for a total disputed amount of {$24000.00}. 

Summary of Events I experienced identity theft resulting in multiple fraudulent ACH payments to XXXX XXXX from my Bank of America account. 

I immediately reported the fraud to Bank of America and submitted both : FTC Identity Theft Report Police Report Bank of America processed my dispute but split it into multiple claims. 

They credited and approved XXXX portion of the claim ( related to the same fraudulent XXXX XXXX transactions ), but denied the rest, even though all transactions are part of the same identity theft incident and are linked to the same case. 

My Concern Bank of Americas approach is inconsistent and unfair : If they acknowledged and reimbursed XXXX  transaction as fraudulent, all related transactions from the same merchant and same fraud event should be treated the same way. 

Their internal disorganization and decision to split my case into multiple claims should not penalize me, the victim. 

By denying the remaining transactions, they are effectively holding me responsible for fraud that I did not authorize, despite my timely reporting and submission of all required documents. 

What I Am Requesting That the CFPB instruct Bank of America to reopen claim # XXXX and treat all related transactions under XXXX unified case. 

That Bank of America either : Provide verifiable, signed proof that I personally authorized these transactions, or Immediately credit the funds back to my account under the protections of Regulation E, which requires reimbursement for unauthorized electronic fund transfers when reported in a timely manner. 

Supporting Evidence FTC Identity Theft Report ( submitted to Bank of America ) Police Report ( submitted to Bank of America ) Bank of America correspondence showing partial reimbursement was issued for a related transaction but others were denied This situation is creating significant financial hardship for me, and I believe it represents a failure by Bank of America to correctly process a linked set of fraudulent transactions. I respectfully request CFPB intervention to ensure that I am made whole for the total disputed amount. 

Thank you for your time and assistance. 

Sincerely, XXXX XXXX XXXX XXXX, CA",No,,No,
15864167,09/12/25,Credit reporting or other personal consumer reports,Incorrect information on your report,"I am formally disputing the accuracy and validity of the following accounts listed on my credit report. I assert that these accounts are either inaccurate, outdated, unauthorized, or have been improperly reported. Under the Fair Credit Reporting Act ( FCRA ), I have the right to request a full investigation and demand that any unverifiable, inaccurate, or outdated information be removed or permanently deleted from my credit profile. 

XXXXXXXX XXXX BALANCED {$3300.00} DATE OPEN : XX/XX/year> XXXX",No,"The redacted complaint does not contain any of the four types of personal information as defined. All potentially identifying basic information (like names or specific dates) has been redacted, and no other category of personal information is present in the visible text.",No,
16219031,09/27/25,Debt collection,Attempts to collect debt not owed,"On XX/XX/XXXX I received an email from Credit Control LLC, claim reference # XXXX. 

The email stated that I have a past balance due with Synchrony bank for a XXXX XXXX credit card. The balance is for {$800.00}. While I did have a XXXX XXXX credit card in the past, there are a few things in this message that indicates fraud. 

XXXX, being the home address they provided for me is incorrect and I can prove I have never lived in that location. 

XXXX, my XXXX XXXX credit card expired on XX/XX/XXXX and then my account was closed due to account inactivity. The email from Credit Control LLC states that as of XX/XX/XXXX, I had a balance. So I could not have possibly used my account for 2 years since it was closed.",No,,No,
